"delta.0","delta.0.2","delta.0.4","delta.0.6","delta.0.8","delta.1","delta.1.2","delta.1.4","delta.1.6","delta.1.8","delta.2","delta.2.2","delta.2.4","delta.2.6","delta.2.8","delta.3","delta.3.2","delta.3.4","delta.3.6","delta.3.8","delta.4","delta.4.2","delta.4.4","delta.4.6","delta.4.8","delta.5","delta.5.2","delta.5.4","delta.5.6","delta.5.8","delta.6","delta.6.2","delta.6.4","delta.6.6","delta.6.8","delta.7","delta.7.2","delta.7.4","delta.7.6","delta.7.8","delta.8"
0.904963437810485,0.638979792577679,0.829244932257177,0.471434746033128,0.182434480073619,0.27410727571438,0.338347816437854,0.57944048957272,0.837568211210102,0.138783193190068,0.20379675164096,0.0624200851479197,0.765232283332319,0.464876907368028,0.690273091327041,0.413194767908526,0.833793309170116,0.468266846462943,0.760048561584881,0.88961050089867,0.753547787652303,0.583305416208145,1,0.510019827332167,0.740571719876243,0.856116428988867,0.856668392795226,0.824384247887054,0.883322182686684,0.470043343731735,0.975536252790835,0.952424460183369,0.987751447998312,0.97679061635367,0.939208598825405,0.900010472663962,0.486326886975173,0.865773454006109,0.722618542835202,0.795547584814797,0.581781398567696
0.936264933174668,0.225941038800981,0.979122997644724,0.670437901165941,0.0417770149036002,0.61910451454582,0.732092183969157,0.74008561356032,0.255326108570722,0.909361620837145,0.607529307762874,0.736881937370487,0.343424576407137,0.895542130469478,0.729509060875289,0.912645211403331,0.357650808811986,1,0.308905586062796,0.563867869225946,0.656856739405554,0.378986302530323,0.863643008367968,0.560166176251703,0.743968009929878,0.625505646677941,0.777546978675515,0.672350225970736,0.87535513012614,0.876329815291567,0.428893185819955,0.972712644525901,0.307258501986903,0.853156476697008,0.681273502977903,0.456324043183455,0.904825346684537,0.757837952677756,0.846519395167286,0.833651343734041,1
0.976664121702203,0.962927576356476,0.299153602362691,0.696958470243372,0.516607750413589,0.78685418242679,0.734667469348361,0.20078802165335,0.619861481717669,0.439989212399324,0.693834006664488,1,0.588026108753214,0.827210237778772,0.56677559213598,0.314577097876171,0.548498463883809,0.987241212046067,0.697922547310258,0.70225767482382,1,0.973007175642105,0.573333756165929,0.779167333740486,0.858620746759066,0.600647210114987,0.630129972112527,0.720287471984402,0.823946332439081,0.783233282009169,0.861959318237513,0.897631035180145,0.750262943407302,0.680866761306307,0.673204505083596,0.670534335576285,0.471937028951365,0.797280317179827,0.532113213350952,0.845218123476525,0.83973034485707
0.987893695916298,0.24331331198026,0.777041567077515,0.9389740642647,0.89464323033529,0.633480866429576,0.545923615069919,0.065971044595938,0.526346089293923,0.651113536389839,0.858047834027925,0.988943894253808,0.138697588621673,0.747251428163628,0.89631077206727,0.776849041844277,0.595748173814655,0.495811740424943,0.726206454963765,0.887736045486582,0.533591489701411,0.613244021938383,0.961437321062553,0.95835566755907,0.608537400734469,0.975007316895416,0.614736652533008,0.850025671535517,0.806215884066932,0.78709426168659,0.704704911787176,0.814341774386902,0.961737212821575,0.901888492868151,0.866873727955054,0.890746315337619,0.747307254854805,0.699183197463629,0.888718808715019,0.607466027356208,0.946531815118744
0.583195007051171,0.91778909917192,0.406087438564718,0.950851391872662,0.666151799214659,0.631594485414047,0.933323714604906,0.537033072670439,0.538009411316358,0.950892406926007,0.420577035252459,0.302097074772063,0.795879409156558,0.11209346924009,0.89702266320565,0.881485384813529,0.794748714781799,0.629734850395238,0.851390060955765,0.638852324744402,0.893380728703005,0.988504833283518,0.891952996390419,0.987902453678615,0.942591664392056,0.738905258680952,0.872855155390546,0.869187692398232,0.892062386901729,0.385106360246452,0.761582798574129,0.741475302817538,0.836603736827719,0.909714865111099,0.455221502319631,0.985814516150885,0.538940237568751,0.700595695248275,0.972731415781637,0.548579732878548,0.448236188945046
0.727946891307432,0.801216657610714,0.1495498720135,0.71349127776354,0.724210546829766,0.703292357297418,0.472049509042481,0.895705087387299,0.964199969178344,0.557935110076606,0.466928042771905,1,0.592815024238553,0.684986863917759,0.726653430243285,0.774363115248439,0.757927574606391,0.670342167151545,0.467575980803194,0.96233501943692,0.987149306531718,0.520289402771614,0.964397148830028,0.963378640677952,0.504274162505564,0.893650689770646,0.724885264657711,0.986858022559286,1,0.784330368422325,0.443224135531221,0.867976166347203,0.6406229730178,0.854301505523921,0.703742264622048,0.651471151511814,0.815966307765555,0.920000441585428,0.803800856264042,0.705926567149162,0.953212193853869
0.747535666335825,0.826757927257627,0.557148770274202,0.905347562657593,0.957915305197535,0.40386428920506,0.298247039054547,0.918079964310774,0.319403053531621,0.959288214499416,0.629992619176474,0.582549268591902,0.873820455503932,0.866076857165948,0.586506817784676,0.813128529990712,0.596133505449266,0.565618993527995,0.472146743287143,0.45128752253317,0.986515006308798,0.977086436472161,1,1,0.593759682642712,0.847954390065498,0.896738363841937,0.5939526714454,0.962507645413249,0.852614658269048,0.875234941451797,0.861148720914715,0.955285760796236,0.712419189486383,0.800497469990076,1,0.458079212481788,0.975779444655656,0.420320335354503,0.862698433107224,0.675897471208986
0.953826078483286,0.847604631575381,0.698711330245617,0.763767196627022,0.297965079917473,0.801612844243132,0.264280444415786,0.504169533561206,0.932957020168116,0.406764220106404,0.987394974917961,0.433870711572993,0.73805280272004,0.838129558588917,0.525043910453546,0.863722542616667,0.937634648271524,0.720458972807715,0.950628291973075,0.772968143683967,0.947738336156059,0.552729178023493,0.586813839047487,0.86125086456833,0.935267365980969,0.840407386249299,0.850139006422156,0.821726068060361,0.702494642294686,0.78759457167649,0.749386690158616,0.986613414893331,0.830737415904859,0.735794735913941,0.831338657586548,0.816953665875752,0.9352503724863,0.69882885715994,0.828039460320613,0.989585684462619,0.802125560319312
0.800983882544477,0.56111111333755,0.650272115457112,0.493828964717114,0.330922406865161,0.662838507626523,0.846568643583392,0.602864152208295,0.774422490418336,0.610142159819722,0.815805126263531,0.986794164982144,1,0.947383398419863,0.0733784661724067,0.355010269511384,0.799102527633177,0.504863925450147,0.861901805203286,0.85445244357242,0.854052688770472,0.891580045422742,0.506711230659963,0.720425300145941,0.678738374917126,0.671587836281552,0.75116296679908,0.975761033911269,0.852248156520929,0.678378601086208,0.817987008113657,0.966365657361413,0.69352695800253,0.975739774628981,1,0.550371398019434,0.988483985843009,0.853437955555323,0.961030791627668,0.606578124500359,0.987113818472242
0.607633226017916,0.515000360643908,0.955827690381549,0.607540113250991,0.666402033281617,0.312597037297918,0.380914610173252,0.521371203752128,0.669042223696703,0.951776126613998,0.259866174000829,0.539665562497375,1,0.705598074757407,0.68471526463178,0.840808768946801,0.693355212443766,1,0.918249009283245,0.744021338350897,0.792552640131117,0.898021638589043,0.765077814152767,0.819727333272188,0.882663984261577,0.734713661207864,1,0.884161627928697,0.989176995486577,0.643156952562681,0.871197750762605,0.847507062662506,0.923751077309044,0.827080461037477,0.84448054149682,0.568836931871369,0.986949936905483,0.597562347209078,0.784120274449945,0.579496459471457,0.641568983518836
