"delta.0","delta.0.2","delta.0.4","delta.0.6","delta.0.8","delta.1","delta.1.2","delta.1.4","delta.1.6","delta.1.8","delta.2","delta.2.2","delta.2.4","delta.2.6","delta.2.8","delta.3","delta.3.2","delta.3.4","delta.3.6","delta.3.8","delta.4","delta.4.2","delta.4.4","delta.4.6","delta.4.8","delta.5","delta.5.2","delta.5.4","delta.5.6","delta.5.8","delta.6","delta.6.2","delta.6.4","delta.6.6","delta.6.8","delta.7","delta.7.2","delta.7.4","delta.7.6","delta.7.8","delta.8"
0.634935371250512,0.953061264853326,0.924003263564139,0.967827720745745,0.90071457357323,0.480652495732192,0.901510194478492,0.568091643028253,0.0679190390615247,0.907916363349212,0.896497770293403,0.858076790830628,0.920733198093435,0.734627075363245,0.601817212248597,0.0615170048952026,0.169709618021018,0.308696389146584,0.00149097699443179,4.06409821496201e-06,0.000844657690698303,0.000330156977086382,0,2.49492855119993e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900650017099991,0.98264079726656,0.717804814021746,0.947663220688124,0.954445641092095,0.915420061017296,0.964493743415657,0.808226391607181,0.940239772645528,0.90454040232864,0.759046906611376,0.677696615692735,0.338668274186563,0.507825487449271,0.94380822259652,0.0390582878283567,0.159412143827898,0.0496592924876083,0.000709980657735532,0.00313384728031507,0.00040663377667538,0.00551467177520892,2.77710441665135e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.899989817119367,0.726518083218102,0.891628078336201,0.492287844242263,0.858149486084034,0.821249682115154,0.991535111869871,0.835102633907441,0.922628411217966,0.994692656751331,0.602542566521223,0.392336129387787,0.875279294074561,0.901606527666822,0.280369756984915,0.514628226496636,0.131926385648938,0.0697561678018729,0.00751102211347421,0.000123539981087606,0.000329701514797165,6.43633874330973e-06,0.000446202808697227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.977048977624677,0.797655934082152,0.992319628406564,0.990094301425246,0.990026280662337,0.981527004767989,0.856834684572842,0.938373273290204,0.926697198416699,0.941598008097107,0.963662006737072,0.948277921884609,0.138204870233651,0.520682094586324,0.136851811535279,0.00116843897299446,0.0192560973604834,0.00365763971732613,0.000898693110513049,0.00386402961860743,4.42268608938923e-05,0.00918282280375826,0,6.53428613828222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990179837709493,0.941611868064524,0.986037978976372,0.993105481468672,0.500705102763136,0.979005317905704,0.972130971236024,0.681997242760897,0.985745527752207,0.958523067407933,0.908452071271853,0.947230052985891,0.859589141111425,0.761283771134523,0.0492629021381646,0.008862200183958,0.444644612952485,0.0152099975918483,0.00997246109537686,0.000181098696217852,3.2816367231403e-06,1.35461906858314e-06,8.04429367950998e-06,0,1.77116328692328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.431130531006911,0.837106117822326,0.99328747508105,0.983713192104542,0.971034853005409,0.993117874143712,0.722373489281417,0.826277189148577,0.925484043273753,0.993358987764835,0.973416268898864,0.806265142877127,0.940292421730824,0.99335210004927,0.622573297690475,0.879831976694592,0.0456680429798194,0.0333728069298507,0.000802771291288473,8.7753208622976e-06,2.63223005120272e-05,5.63618674487287e-06,0,4.2046617525493e-06,9.81527508503444e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.994298148157654,0.995533169946226,0.717547098286031,0.982765746991657,0.713166128747376,0.905547278318671,0.957236509394667,0.678662015276766,0.993878866645494,0.732456394120694,0.804161316734065,0.701929050806085,0.330025263802401,0.416563484163114,0.571921493825948,0.298493461163383,0.523813109933678,0.0358050943196517,0.00279873381861551,6.77129898009055e-05,0.00192495353817468,0.000391652055710345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.993772193579655,0.98696395228345,0.811482455184529,0.980544929911205,0.906565912132977,0.965766461678491,0.863730752985308,0.565129788963508,0.960946245155444,0.858884397841925,0.992119302814286,0.812507831058133,0.644966413074019,0.104578212180891,0.0609280131058155,0.367828396218116,0.046785591863493,4.52777657603542e-05,0.000682156854437399,0.526958989225536,2.63486885432318e-06,6.2247433948448e-06,0.00382048776356558,0,0,6.81746513497838e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.449474932297374,0.772572408261895,0.99054517143489,0.990940741681322,0.632061427344602,0.857793797302299,0.950750482157605,0.878473872326154,0.988143294299214,0.931646758317345,0.49368991883775,0.992753517372987,0.563737559144379,0.990907881393988,0.0795890371901381,0.428831479433637,0.147425691749874,0.00320769162297052,0.065506974874221,0.00167806614094912,7.53751673006064e-05,0,4.1812402840069e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99397259788749,0.518900385217884,0.97168385742156,0.700929564459263,0.924405148740437,0.720614277921318,0.99191854176684,0.983085477221914,0.928337106019255,0.737299796580827,0.931961080533364,0.685595164592443,0.777332653041829,0.523865957130888,0.146352095079541,0.0382486664240889,0.00807523231311313,0.0633264325801209,0.103624248377262,0.00126849034886356,5.15151611730769e-05,0.000124516910963601,4.40281563462985e-06,7.29767579144003e-06,2.84441986897477e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
