"delta.0","delta.0.2","delta.0.4","delta.0.6","delta.0.8","delta.1","delta.1.2","delta.1.4","delta.1.6","delta.1.8","delta.2","delta.2.2","delta.2.4","delta.2.6","delta.2.8","delta.3","delta.3.2","delta.3.4","delta.3.6","delta.3.8","delta.4","delta.4.2","delta.4.4","delta.4.6","delta.4.8","delta.5","delta.5.2","delta.5.4","delta.5.6","delta.5.8","delta.6","delta.6.2","delta.6.4","delta.6.6","delta.6.8","delta.7","delta.7.2","delta.7.4","delta.7.6","delta.7.8","delta.8"
1,1,0.92653351011629,1,1,0.853131637101595,1,1,1,0.948046601636323,0.573940146112661,0.673367325882144,0.263071719668222,1,1,0.047837204035609,1,1,0.205482305959315,1,0.370888368768499,1,0.0284996336460465,1,0.831041097068241,1,0.0184094829384889,0.0212277380313604,0.00926443796210624,0.0165720819472335,0.00959454884313305,0.00932195782674075,0.00975593349041513,0.00901272554639315,0.00877439003067612,0.00905830983219786,0.00859734133561619,0.00879063168850796,0.00891357717146544,0.00864667722363777,0.00939354227550849
1,0.231576049780996,0.262449694299487,1,0.700110721183017,1,0.92687422765504,0.217484668712054,0.925139093530144,0.787104058355009,1,0.290042702308797,1,0.950174815365203,0.561087736462955,0.145177051814783,0.628369911035998,0.175398103957327,1,1,0.131372079448487,0.846357947265749,0.0688013071490517,0.32770949928193,1,1,0.0584583015965419,0.437573197907335,0.0228959768123224,0.0108676431360108,0.00828263364773637,0.00945096862894993,0.00781349631218485,0.00932531668929647,0.00930769783240955,0.0082400117329153,0.00863046055907461,0.00841082824217879,0.0085316262719483,0.00873995433234436,0.00917907800190126
0.149819765912828,1,0.341886192196956,1,0.734231344371247,1,1,0.594456174242036,1,1,1,0.0889753446080503,0.70664146488461,1,1,1,1,0.567728464639922,1,0.323331674217696,0.0792436867857814,0.0783754327662129,0.477190080762249,0.00880971802080278,0.575126152186808,1,0.0169049421704595,0.257555163155618,0.0112740412982448,0.292945668995042,0.0135547810903545,0.0158407552376386,0.00867159760856973,0.00905573343300236,0.00860446403710763,0.00843118375728517,0.00845695454711631,0.00867968658480557,0.00851224357389931,0.00892225673541261,0.00879973894796085
0.356169721566387,0.73900732999558,1,0.950084847560101,1,0.511325105615894,1,1,1,0.499805107003385,0.800542827340867,0.275587106562298,0.47186761113677,1,0.716734452505388,0.352024214706293,0.789261787532014,0.372560245130466,1,0.593627911796044,1,0.704417623125996,0.0312230459316574,0.116506644009408,0.587020366978885,0.0662709178776432,0.155403883021653,0.0675520908883753,0.00958772331181421,0.0175111745342598,0.00879933745210992,0.00952709584973592,0.00892935650761105,0.00933831310964269,0.00880880216792837,0.00901060013756203,0.00861178999107805,0.00854671904560567,0.00849801561891361,0.00861173510540507,0.00891284330071344
1,1,1,0.799444508882984,1,1,1,0.40817760063841,1,0.294057157102652,1,0.0647344156651639,1,1,0.483405187318098,0.98185012462278,0.880593155337301,1,1,0.500611590699288,0.430131205684987,1,0.0329130553700225,0.0123728961523145,0.0198830489421428,0.692242836748383,0.0120817545682759,0.0119531787179392,0.82319363844505,0.00864111213987685,0.195752439530797,0.00914914212361998,0.00980910838914059,0.0139666334886474,0.00795455886913065,0.00890541069207814,0.0083796491572129,0.00873061861564915,0.00907670673495178,0.00849056331429784,0.00816502416883017
1,1,0.914467353867556,1,1,1,1,0.978143676539283,0.239116988566837,0.919876595625946,1,0.462510338131979,1,1,1,0.799048253090966,0.37983355729603,0.998064184763069,1,0.30220576214674,0.382749765478941,0.396683764839252,0.0623680163640399,0.334220381741928,1,0.00897439077725954,0.0349255980959435,0.0140585450831442,0.0578884240313079,0.0151815245573643,0.0147433519062168,0.0102589945445198,0.0097726202858516,0.00878222739186547,0.0085154078084792,0.399018004030885,0.00849912597049956,0.00904789599090322,0.00909523290817373,0.00876340608761488,0.00891333212605815
0.695739208393722,1,1,0.731368740192527,0.142722957939895,0.883018743884068,0.260090583260085,1,0.162186492000507,0.681318227438431,1,0.302697309803954,1,1,1,1,1,1,0.311018595396194,0.425237853327749,0.111227677288662,0.379564054237452,0.0170568564586891,0.049468543987266,0.321220171729598,0.045623210714571,0.66002174625443,0.00913983306381852,0.00881712000711003,0.00940352049335048,0.00917946813014898,0.00864644111365202,0.00870518943579899,0.00893157483007872,0.010796857139532,0.00944047783184929,0.0085382705786989,0.00876584639535511,0.0081645544767432,0.00903059841673823,0.00858875177628047
0.112451998365174,1,0.307501451020209,1,0.0866404786750411,0.972146570198,0.434889893155787,0.847278403681715,0.910469822494959,1,0.0838975868866718,1,0.861045017582068,1,1,0.77244852571255,0.694690823962595,1,0.0603622456436451,0.365611808081728,0.127888855864437,0.12990710142563,1,0.0169307102116081,0.017556147949709,0.071758387104671,0.0127873098704651,0.024113562172756,0.0127764076570026,0.0101145143348891,0.00872290053628284,0.00913211856232481,0.0091235415378607,0.00943839382500256,0.00862822855215479,0.00878226545835929,0.00903996473848829,0.00901940203810036,0.0101292768839108,0.00857079618098912,0.00867957461155222
0.535744582090002,1,0.864235996906805,1,0.316487851904359,1,0.894312990610444,1,1,0.398991934568913,0.761708632387298,0.144874376748671,0.0743292260058122,0.974773866455711,0.455016312578562,1,0.84314745356194,0.293429338570498,1,0.515439291916786,0.668317364080906,0.0391521794222748,0.243336311696299,0.572372656564287,0.887563808287655,1,0.765577960988663,0.0110701343046119,0.11513444273757,0.00919580269799534,1,0.00906751219657177,0.0121347700955942,0.00913218149978113,0.0105291589241461,0.00870301435387177,0.00936101009668974,0.00877443411608154,0.00977060747717149,0.00830993565368639,0.00864752005274193
1,1,1,1,0.142343402522547,0.627926701205367,0.208274733358415,1,1,0.653919392016203,0.329286872941315,0.910044918101924,0.166507365522427,1,0.61539352652639,1,1,0.545934176559181,1,0.288682178726961,0.532430657361877,0.369748987276764,1,1,0.0116875607963309,1,0.00975857837282518,0.0296302600842811,0.0115853668117279,0.0087229553345536,0.00882693111752273,0.00944236691124719,0.0086173628991115,0.00892161945496749,0.00968978294074769,0.0117497826655139,0.0089311374170834,0.00860466171901235,0.00877307641733031,0.00888679559741605,0.00869671701710731
0.636659587544707,1,1,1,1,0.723557989566967,1,1,0.663166216498907,0.486650846340069,0.716993794467986,0.573014861720137,1,1,1,0.505488094186607,1,0.992618754150174,1,1,0.37001343447835,0.041142048398881,0.225651265897324,0.581566075994624,1,0.0189053421602582,1,0.00976855493403316,0.00948659428668496,0.00920800789837182,0.00990940164162079,0.00775236997261216,0.00859249228853333,0.0186466020907313,0.00925182989112935,0.00910110775172931,0.00862247293636654,0.00867149103361634,0.00857838950766551,0.00889665989962582,0.00933156310323894
0.615991271333888,1,1,0.862332757340666,1,1,1,1,1,0.434568267972509,1,1,1,0.845940789434111,0.735132861714717,0.102686444457353,0.698922525406681,0.455282555896357,1,0.0428336008980594,0.375925813343035,0.120607302501048,1,0.335136438378835,0.138500308843606,0.522775829909832,0.008797685112237,0.359012267385391,0.105429670549784,0.00932354223896526,0.00883359624292294,0.0100512260725738,0.00871334235120408,0.0136267839263493,0.0096773498825379,0.0096537582727021,0.0090400868431387,0.0093900020235969,0.00866426912508467,0.00974852479675718,0.00867985133156112
1,1,0.779630411210259,1,1,0.777482223792478,1,0.536699415901843,1,0.864961210505046,1,1,1,0.776588852350447,0.373037045055851,0.507023815476077,0.793198667031899,1,0.0238252761343316,0.617366062198598,0.0579444298943842,0.0246415239848736,0.395998306074495,1,0.0412263226390251,0.874808177277638,0.558770986880367,0.025738948762832,0.00933390119357806,0.00847651047208416,0.0545984313273558,0.00918867098450202,0.00976161834146691,0.00963979110046811,0.00863031205260976,0.00917883795389554,0.00858874655496668,0.00818517809723919,0.00872310736741786,0.00803223916627623,0.00815024405274797
1,1,0.420514828618329,1,1,1,0.910879499581048,1,0.855689361985772,1,0.495684494172795,1,0.942011084890766,0.740252835401189,0.435401415645798,1,1,1,0.537105540499699,0.503570342930936,0.797894863090409,0.949994869668066,1,0.182803334485908,0.0515548713619928,0.027815128116254,0.0158174287651269,0.0144257578121226,0.0460443734466363,0.467809273992683,0.0183093459719152,0.0100170565625126,0.0101016043046778,0.0112826374683141,0.0101684024746961,0.00878282467778559,0.00900284769245366,0.00880885678002111,0.0120377092171773,0.00893036294742288,0.00901246985570797
0.25600278708379,1,1,1,1,1,0.746702419520356,0.142027312293728,0.199100064915229,0.736682294775514,1,0.771134858469689,1,0.106592201938589,1,1,0.328839968709452,1,1,1,0.13531256865499,0.908687847448304,1,0.102885422480005,0.312063479141268,0.0106550949756526,0.00960890762365635,0.0115989766083664,0.0141937567746659,0.00943134469914282,0.00968530590393937,0.00873874077173669,0.0100330028255518,0.00909498165887157,0.00873031333153021,0.00873978200869434,0.0123865134897503,0.00879974087701716,0.00880922966960677,0.00879148587291599,0.00892057513190183
1,1,0.60219781257482,1,1,0.386428268713031,1,1,0.271340696086478,1,0.681300584956891,1,1,1,0.81525094432488,0.559666520018015,1,1,1,1,1,0.0271764834702501,0.994136115813358,0.0382548354639891,0.0358330235872243,0.884595657459812,0.327849357172859,0.218813469142236,0.270714440088102,0.0106227657640439,0.00888683475527439,0.0111562025694711,0.0090403168243872,0.857671198511207,0.00912734682016615,0.00889257591297419,0.0091211456567292,0.00863823861764827,0.00937125949339416,0.00906577654713651,0.00868901720909904
0.72312008581631,0.088482905693361,1,1,1,0.526309617993907,0.713109415649356,1,0.48549326702164,1,0.755568332195924,0.965370213373773,1,1,0.974042228783275,1,1,1,1,0.346349000309399,0.153743117863348,1,0.23868169376856,0.0895223737378566,1,0.0107691333410509,0.0121165126353677,1,0.00905353560111766,0.00845853520717779,0.00894897990133977,0.013486421912922,0.00867052281473467,0.00901148791244019,0.00839420653397677,0.0105080699523976,0.00888771760929944,0.00866336109401902,0.00902185584430524,0.00910413883411363,0.00863853012755355
0.734985207113746,1,0.664196687641542,1,0.682192557880641,0.951369005602747,0.271845684070226,1,0.462868347331473,0.906593056296658,0.661178425312205,1,1,1,1,1,0.817165443888207,0.485221949167642,0.191636564495492,0.385958179143371,1,0.54775560376405,1,1,0.371071486763707,0.519030632014564,0.547364614870143,0.0210926595292895,0.0122769764576647,0.0118694811919047,0.00868882254217996,0.00924956063132636,0.00903808045445189,0.00882282259458511,0.00887788004462405,0.00867272925860117,0.00869784656610514,0.00889539475720954,0.00853944708519917,0.00884325176546183,0.00893057178248207
1,0.870050393025109,1,1,0.643557069486851,0.0702004404316411,0.936948827553435,0.148744940215154,1,1,0.630715042367305,1,1,0.686132579727114,1,1,0.18465807090257,0.460607961504816,1,0.696972786845071,0.75116364687199,0.0748983690104154,0.815447430441435,0.59883664285223,0.510001329156727,0.0329411113114956,0.0241457173985167,0.12211874618822,0.034763952616164,0.010207880994753,0.00879244010383408,0.0102729801456103,0.00998541944876354,0.213127620705719,0.00923024453633202,0.00866342300156299,0.00993090927479557,0.00923616924437862,0.00897674350240599,0.00861311968167653,0.00904825199437854
