"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"1",1,1,1,0.340581678816258,0.105892959633942,0.284718230817156,0.0897365628906471,1,0.223886279323882
"2",1,1,0.0224981274389183,0.127554330781277,1,0.370117546119778,0.747571717439974,1,1
"3",1,1,0.169644115610809,0.0938931498119921,1,1,1,0.0351805653523261,0.778778544716819
"4",1,0.246980788743566,1,0.175655552468173,1,0.028695396574901,0.165800707407409,0.16667368864282,0.0720483367177224
"5",0.508519618875609,0.80103967458164,0.0975928418437702,0.0917673255137461,1,1,1,0.199411588168403,1
"6",0.143918135721504,0.237324580783559,0.103523008968712,0.0539130219385104,0.438627623503263,0.140604101006139,0.108728060322379,0.547583681182896,0.833639435588889
"7",1,1,1,0.31178997866359,1,1,1,1,0.13774271549165
"8",1,1,1,1,1,0.183415461861512,0.430945701787119,1,0.0421848944742211
"9",1,1,1,0.368268575977724,1,1,0.44151120979278,0.163116741137605,0.148621962612299
"10",0.775610541921369,1,0.477508364650942,0.11420423190557,0.0397718712145299,0.0142016878081791,1,0.0647004919239521,0.633723536068154
"11",0.145761486140713,0.0745714358056262,1,1,0.256963490377015,1,0.422705434233467,1,1
"12",1,1,0.847126061497417,0.106157038547705,0.598876350731367,0.0700520589468954,0.0923798365797613,1,0.337698185185319
"13",1,1,1,0.513373958379678,1,1,0.42564653685923,1,0.907370213177012
"14",0.735421247934923,0.310295606142295,0.862941892851964,0.0278637604874436,0.0420068056695182,0.0462544700125221,0.00987822912109066,0.159772441872067,0.890856552578235
"15",0.495973970590414,0.889943672318879,1,0.581787538217869,0.230306802066221,0.0442604296819033,0.160107919958236,0.0428756990246612,0.0299051451406604
"16",1,1,0.0646214073067133,1,0.224503842291261,0.0183255304184637,0.0225999570259525,0.144755806427465,0.0135151596057546
"17",1,0.0454140885108143,1,0.351255342196867,0.705986678029269,0.119512919271036,0.961707298989373,0.0570696769505373,0.648099851313301
"18",0.252728912549539,1,0.183007697180994,1,1,0.144475900227962,0.82819014579861,0.00937823137980892,0.074271395667532
"19",0.997334397628188,0.980643770933437,0.0725421793922552,0.214040186180385,1,1,0.0964490438681199,0.533002133199078,0.0618207839703828
