"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"1",2.40550285651991e-05,1.54691778002513e-06,1.3536128387477e-08,1.30348749396956e-10,7.46120392823797e-16,1.84307910356768e-20,3.36919457363016e-33,5.22255235284128e-46,4.05118552159902e-214
"2",2.19063914656495e-05,1.38965377152608e-05,1.37472101046498e-09,1.17382136868033e-10,6.55135113350696e-12,7.96216876912662e-19,1.09951269486458e-27,1.6386088509751e-35,6.68245243519794e-215
"3",0.000367912459685691,5.77196410055912e-06,3.12388265345851e-11,6.86097485331243e-13,3.07419347128669e-11,9.88111941272941e-24,5.57783550832707e-29,4.34759615355271e-46,4.18674866728232e-216
"4",0.000232526953483467,2.38427046191387e-07,1.48286394500706e-08,1.25127094348911e-12,1.62061696658681e-12,6.50964863583879e-25,1.65001915616999e-33,1.12121387599281e-43,6.77885225221198e-216
"5",1.10937139849457e-05,1.33489302972775e-06,8.18646501620274e-08,3.24648900071835e-10,9.11536700945791e-14,2.1551788224676e-18,2.7675505368728e-31,9.86839205327785e-44,8.62178847206154e-219
"6",2.64470627037239e-05,1.53383620903836e-07,6.79335891269393e-10,5.90287935721991e-10,2.89350725396738e-13,3.50560036569698e-24,7.53283426312744e-37,5.57444150055386e-45,3.75930565783352e-220
"7",0.00118756632964251,1.04372242961556e-06,8.60838407955291e-08,2.60456065223443e-10,2.0716762604729e-15,9.81102418445313e-26,1.3456479852202e-32,1.97393202124685e-47,1.17758076763529e-204
"8",0.000954762314575788,1.74331981755119e-07,2.45222867901993e-10,2.84299240914018e-09,1.78308161509937e-14,2.34253241230867e-20,1.22597429515592e-36,8.16450707037253e-42,4.88397113847455e-224
"9",2.72500399573131e-05,5.75929497175391e-06,1.05274239897286e-07,8.04966080747946e-10,3.30660289700814e-10,2.42974453155463e-20,2.53126443150133e-33,4.04122929771341e-49,4.58966826256033e-212
"10",0.00129526311220715,3.48893207369337e-08,1.9075303584829e-08,1.07841380532928e-12,5.54637353403252e-16,1.73852439725226e-20,3.47349803192746e-30,1.76332562245596e-44,1.11604190068526e-205
"11",2.55752604742342e-05,1.95523667265531e-07,1.07274326708952e-08,1.73876412776647e-10,1.89644437431954e-15,3.97425425325164e-18,9.07723553442481e-32,7.0136432242258e-45,2.71585676542982e-189
"12",0.00560629140506831,8.66572627085705e-06,3.08469765718058e-07,2.48084817765272e-10,2.68636483737434e-13,6.7435729430307e-24,7.22777979337278e-31,1.37842739741195e-45,1.55252833577603e-226
"13",6.05781756888712e-06,1.72716997354099e-06,2.20671987487318e-08,6.25571248423614e-14,4.34250084998439e-12,1.19038445054214e-20,1.08977545128304e-31,1.76964434981506e-46,8.88614429314336e-222
"14",3.77253775797464e-05,2.25437989545493e-07,1.69232444061482e-09,1.62323492485113e-12,7.9153677123277e-19,3.3236351672468e-23,1.66346500131054e-34,6.47599568189931e-46,2.05912770836014e-205
"15",0.000133762598869992,5.66930889387513e-06,1.79072875915134e-07,1.13509890437845e-11,7.79587680078728e-13,4.5115276049057e-22,1.24000537137088e-33,1.16590992960795e-49,2.60732895604921e-217
"16",0.00140046489819264,6.70534984694661e-05,3.85528661211863e-11,2.05157424873457e-10,1.43578689153367e-15,2.13646070165803e-23,1.21906285831955e-31,4.13135873884533e-44,8.91195705239036e-227
"17",1.82522573217112e-05,2.03564717513343e-06,4.3270015362503e-09,1.08910947286927e-09,5.07518506701476e-12,1.5964137620076e-22,5.33360538555357e-31,4.82009252227142e-47,5.92921641685283e-207
"18",3.62766635810262e-05,5.21278498799408e-05,4.35656972416582e-10,3.21568418188173e-10,1.67419911267831e-14,6.82453314003136e-23,5.91097397764495e-28,7.98515542076742e-52,9.4227635946641e-223
"19",2.06986579598737e-05,2.02779856952637e-06,1.39865273576774e-09,4.98709938663261e-10,6.27829167703235e-13,9.73268878243608e-21,2.33343675912504e-29,1.60766034773615e-46,3.86955082358184e-221
"20",0.000563596216040224,2.98278152389616e-06,7.92048959905046e-09,3.12178446594754e-12,8.79019980486577e-13,2.62774897182857e-23,9.14415503880294e-29,3.82663104394791e-43,1.03302577722215e-223
"21",3.30071205014431e-05,2.09460832068204e-07,1.45513214401759e-09,4.94987969592372e-11,3.87911408995258e-17,1.09090610485827e-19,1.76440802910161e-32,1.49434415538425e-44,1.92093028428625e-227
"22",0.00018668685622173,5.93356899626113e-07,4.12902600209726e-11,1.17998084083679e-11,1.17083338569913e-10,1.141748712383e-22,1.34433330360925e-30,3.27197411650575e-41,2.72498700675612e-218
"23",2.92804556883679e-06,2.49781407670672e-06,4.9790012453151e-10,2.23622411542276e-11,1.12002047846598e-16,9.04071292387574e-18,3.03278367453329e-30,4.96439054730404e-40,2.76984278750396e-215
"24",0.000753939370633297,2.12200671195577e-06,1.81707266236494e-09,9.37805658659856e-09,1.87873652096105e-13,9.1825451306778e-22,6.16570562190109e-34,8.74537860634327e-43,7.04966403098354e-218
"25",9.30139250496621e-05,6.44421063317181e-07,1.40487059997243e-09,2.98487307057049e-10,3.26656377392471e-13,5.76226027374342e-24,5.18968983073205e-34,3.3266797899037e-40,1.3298286137415e-219
"26",2.0795508560906e-06,2.14007635325049e-05,2.06986774671453e-10,2.89265443400035e-12,2.20363135806112e-12,2.68991571349051e-21,4.30722062919076e-33,3.06257365159454e-44,2.47777111476281e-213
"27",0.000269951338994706,2.37760844530239e-08,1.18790932531631e-06,4.59441349648292e-10,1.28879012319267e-16,1.68253622077455e-22,5.48815032095984e-33,3.4852379227086e-48,3.94501185081157e-230
"28",1.10172560606048e-05,2.30048912245004e-06,2.45176056236979e-06,5.01755809884035e-11,2.03492514027786e-16,4.90405862715834e-22,9.77446382861663e-28,6.06579812791361e-43,2.38654275716011e-214
"29",0.000194685548366845,1.07066904773168e-05,1.85544257039926e-08,1.18079171240452e-11,1.94301511580392e-14,2.52355836009538e-21,1.14971759637235e-32,7.98497927416659e-41,5.99114073434473e-224
"30",1.90935860294291e-05,3.55810486574306e-06,9.01668037444671e-09,5.48566192889483e-11,4.07747618725006e-17,3.13034846968964e-20,1.47729283674882e-25,6.42034877634862e-42,7.53990725951241e-224
"31",0.000334824206318109,3.19286380689758e-07,2.28778537158537e-08,3.20028696172153e-12,1.63410987407147e-13,2.53094147875091e-19,2.21355431482602e-31,6.41636212040544e-41,1.91742578307308e-217
"32",0.000163741196256628,1.1872769981012e-06,6.24136951843042e-10,3.32565822103405e-11,4.98349371308102e-15,4.21014731376754e-25,1.79934208753742e-33,4.19755608155849e-44,2.83619508046712e-216
"33",3.07619144006731e-05,4.01631387783648e-06,7.30605023163188e-10,6.34422005505367e-13,1.38920913150529e-14,3.18980783377721e-21,1.51249242450042e-35,1.13539171836748e-41,2.32247914076053e-217
"34",0.00198777945783541,5.33334620129405e-06,2.04734978399485e-08,4.89176669562263e-12,1.99220777630732e-13,7.63385909020143e-25,1.10694450791873e-35,9.71971596619671e-44,1.36122682555198e-216
"35",0.000692760255578104,3.83086643119736e-06,5.89369489956677e-09,5.08763346249594e-11,9.29800848403424e-11,3.24900561242966e-23,1.72360285355154e-30,9.68879334631498e-43,2.6848955428183e-217
"36",3.63736555856954e-05,6.72915442893688e-06,3.85958431045143e-10,9.66820181774141e-12,3.569896647511e-14,5.59822012728394e-24,3.4428406836696e-38,1.01299508727363e-43,1.99678745729294e-217
"37",0.000428791796683139,7.77102232729003e-07,9.00911956861705e-09,1.14048704339377e-08,2.02429079264081e-17,2.90240708877546e-22,1.1906186696977e-32,1.6609237217054e-46,1.27093420054248e-220
"38",8.00571701081313e-05,1.74863792029408e-06,4.66242921697425e-10,1.79523654243573e-10,3.21572113617715e-12,3.52465861775481e-24,3.86128230340624e-32,8.33705761804962e-43,4.78933486877022e-216
"39",4.48000036021119e-07,2.12077751391647e-07,3.73251510496211e-09,1.47408537079078e-07,3.90725191615617e-15,1.71832707059185e-22,9.45224446157968e-39,1.03134139137335e-43,2.66465807499793e-205
"40",1.62840320204836e-06,7.56200910178546e-06,1.88310848955823e-08,5.18124184296458e-12,1.93012441819201e-11,1.22414366974452e-22,1.60993993041163e-35,8.39332096025637e-47,6.11436722872083e-216
