"","p 1","p 2","p 3","p 4","p 5","p 6","p 7","p 8","p 9","p 10"
"1",0.00889134690893834,0.389793727245999,0.0372062887252548,0.177677402584048,0.224956417372656,1,1,0.795532309820565,0.242401701659384,1
"2",0.97466998850945,0.382146365510815,0.460739237800429,0.336285319397931,0.773419921205882,1,0.757629011907271,1,1,0.779190253967004
"3",0.136065126679419,0.349419411919836,0.0691844840898586,0.289357419940575,0.0480810016258902,0.500043137089918,1,1,0.68793325444539,1
"4",0.115310916954529,0.0352557559187838,0.0340612630735636,0.246834980583754,0.0654070029379622,1,1,1,0.995903649752656,1
"5",1,1,1,0.951477385815698,0.59514072795027,0.551229286774182,1,1,0.852230828257891,0.928883353910483
"6",0.581264216160097,1,0.368388074627819,1,0.308863554812485,1,1,0.894758321104949,1,0.979318777033871
"7",0.268075057666087,0.374634670166716,1,0.8059038410005,0.368051650238388,0.825388032665408,1,0.410632511248622,0.997709930478941,1
"8",0.550935891756712,1,0.723442341825607,0.49316010517917,0.896008563508422,1,1,1,0.954498872753425,1
"9",1,0.58664011028196,0.623588898964793,1,0.66324030785316,0.562518032692257,1,1,0.672000606613298,1
"10",0.656201375320541,0.0537720276045444,0.42189352601845,0.591643877835088,0.506574080084464,1,1,0.314588464149984,1,1
"11",0.569549874317973,0.184164021604878,0.323289403739228,0.484919857574561,0.861734880751478,1,0.494838988489172,0.497473769851159,1,1
"12",1,0.363899804031827,0.438224478926292,0.478335884862439,1,0.938221650575372,1,0.536474151040314,1,0.340096812098481
"13",1,0.710834438454274,0.408205973883422,1,0.337286613300893,0.406114256016289,0.914985116830858,0.570196503811919,1,1
"14",0.978983424796739,1,0.606431899722097,1,0.227776474540417,1,1,1,1,0.758594828811536
"15",0.0697577965038208,0.202331681317749,0.136474818496809,0.104049290508546,0.266123019223434,0.556541801191646,0.361451979371726,0.655329209298401,1,1
"16",1,0.181360699011216,0.0777476018942217,1,0.714318505167118,1,0.889969760751695,1,1,0.392213277636307
"17",0.516431519645867,0.990743250320702,1,1,1,0.676985068661517,1,1,0.548147157327125,0.550937530164735
"18",0.557669087398946,1,1,1,1,1,1,0.994455299751211,1,1
"19",1,1,0.714561416759538,0.282623096553505,1,0.376844242051225,1,0.302694487306003,1,1
"20",0.501437380301504,0.526107287042896,1,0.622211820272806,0.772395515814713,1,0.983980880939094,1,0.811336787589396,1
"21",0.122511048848168,0.0391596171332052,0.209302296742059,0.0759333236638211,0.0594578242755334,0.496072079286608,0.319782675247867,1,1,1
"22",0.506944445275568,1,0.0512604278459646,0.188234448744466,1,0.382512129784531,0.985769645590714,1,0.396125915522062,0.132088359418841
"23",0.278800353036964,0.190745625589592,0.0393514128866384,0.50892431533617,1,1,0.984326842886024,1,1,0.871509115327956
"24",1,0.822234021182904,0.538387907219913,0.958322764571807,0.72914171769123,0.495189741556632,0.63364360870666,1,0.841312801314528,1
"25",0.788675268294597,1,0.871403746637691,1,1,0.809966771018948,1,1,1,1
"26",0.46637932403901,1,1,1,1,1,1,1,1,1
"27",0.182833457216988,0.0370503302617387,0.491491895149118,0.101716176312789,1,0.665423501276206,1,1,0.542257614799264,0.603502498670641
"28",0.0348358528922869,0.202892201328552,0.0104530971975272,0.188051702762913,0.513504775699602,0.0827756932234101,0.938029591118523,1,0.366052959965779,0.54000551310184
"29",1,0.198495743494971,0.31838428826812,1,1,1,1,0.774187296607427,1,0.548710320240156
"30",0.942997521628804,0.560397928936854,0.140203833607519,0.115912973604295,1,1,0.757685415119929,0.96313939473085,1,1
"31",1,1,1,1,0.0295733410918961,1,0.275233027722019,1,1,1
"32",1,1,0.547873644037897,1,1,1,1,1,1,1
"33",0.437261225074241,0.673063326092689,0.663336917243437,1,1,0.228891093851386,1,0.642132526170438,0.90063359783695,1
"34",1,0.925887613009797,0.936354250316103,0.098830809310769,1,1,0.943411901812764,1,1,0.426463962755798
"35",1,0.0903912797300012,0.0174443040636786,0.629454858532202,1,0.397541996647892,0.2331959098256,NA,1,1
"36",0.201424302218577,0.124339654350011,0.407497156551097,0.252311457723396,0.178772422890033,0.528031030433111,1,0.450086022227901,1,0.884625033430202
"37",0.330039833414597,0.60367849322152,0.300135520813106,0.518941487722011,0.0778912036224192,0.419212636817248,1,0.761373248850423,1,1
"38",0.169706108348571,0.724764644588203,0.912524526732193,1,0.804668425680066,0.465082065992594,1,0.596927511516219,0.808587864891637,1
"39",0.552662246075088,0.249930392153981,0.461388836782446,0.0218409603479779,0.720379655295106,0.429893855278691,1,1,0.467315766023184,1
"40",0.397436093735344,0.338331722839404,1,0.606766156463283,0.650347997323881,1,0.132076140431188,0.655510863540575,1,0.789221856388054
"41",0.0201662407292644,0.113997111966032,0.0779227703749114,0.0608836664232944,0.0138878225167941,0.150803497732427,0.140186329522583,0.0374891557165279,0.0987911352467492,1
"42",0.0553340794554563,0.230164975300899,0.0456567451841319,0.334661617991378,0.13147358298716,1,0.660957531072227,1,0.400990062825057,1
"43",0.163123962992016,0.0847664274749295,0.696028500141152,0.0376540943876524,0.129322254769453,0.956371228352774,0.0345610932141859,1,1,0.362124165521645
"44",0.535535306977862,0.258640703972076,0.53494479331873,0.645945846477764,0.838486510091314,1,1,1,0.856871744508156,1
"45",0.0212438548744797,0.799985951164969,0.656594025599165,0.609108690636475,0.638225907487706,0.872074354781356,1,0.58561101314617,1,1
"46",1,0.187332421323137,0.297268993919732,0.347205989760993,0.932267609885242,1,1,0.293234882886417,1,0.527214659761654
"47",1,0.532868616778848,0.322619882109775,0.835910382992529,1,1,0.774866675788594,0.507257352669464,0.725255430692733,0.729214164886048
"48",0.564861924459932,0.33917087227099,0.774800523784693,0.437363703890181,0.450797956928034,0.316787320327288,1,0.957245077912643,1,1
"49",0.617983257811525,0.0487976890402805,1,1,1,1,1,1,1,1
"50",0.614176009937169,0.188066848011871,0.211229643112479,0.394993145389749,1,0.791087508365271,1,1,0.99683269495005,1
"51",0.5354091495564,0.197919520543528,0.322745432799586,0.101287553830853,0.691999770708247,0.165262327873837,1,1,1,1
"52",0.257235746571979,0.848138152907546,0.253531567857468,0.0569397820748453,0.67557307848049,1,1,0.318438655906814,1,0.948935439110737
"53",0.146355600425684,0.194228055189237,0.0951475203005933,0.147340181642283,0.0126982671997411,0.344439269787475,0.242840393800024,0.974818749707709,0.66272924457197,1
"54",0.234965676225535,0.219011201845852,0.991397480287921,0.629455305934926,0.823404313684558,0.493638003942168,1,1,1,1
"55",0.365317951898818,0.103004217568013,0.541685893385905,0.108772999921176,1,0.912597379417798,1,0.0204592099071759,0.145000400623456,0.747960133931724
"56",0.00666578770031224,0.138822304144644,0.213740635141719,0.147312859051165,0.245982463352419,1,1,0.742106534729142,1,0.792086267902855
"57",0.581431352865228,0.563264198127546,0.40572249180467,1,0.208939316145705,1,1,1,1,1
"58",0.0382507395290713,0.111811600966545,0.232046280508306,0.197436335960533,0.0909338611543023,1,1,0.799437240602953,1,1
"59",1,0.568804134631458,0.787375760702634,0.741650629985453,0.864683908749266,1,0.666043793921326,1,1,0.205916811729366
"60",0.042982023294903,0.0637724760020798,0.642540145926646,0.628011256288533,1,0.809430998383813,1,1,1,1
"61",0.313279117249941,0.89574923391529,0.587363244057482,0.463371312535816,0.653142131819973,1,1,0.637957427365163,1,1
"62",0.760725087317997,0.936263314966359,1,1,1,1,1,0.22108293408833,0.815618664221156,1
"63",0.543542801749136,0.912093240216829,1,0.913492166833872,0.508572607764733,1,1,0.500428425850967,1,1
"64",0.450972811437298,0.00825488663835444,0.318465626479078,0.0296722299554321,0.735873178310613,0.563145108678863,0.974583224574374,1,0.280082555632696,0.946687973930408
"65",0.0648666104775571,0.0205786429874554,0.0313505270597521,0.311890292530853,0.052021681126349,1,0.938899364109828,0.547022175538507,1,1
"66",0.522013393593689,1,0.9549814388466,0.481648028310696,0.2512645640782,0.0583058386393687,0.762833773845341,1,0.134384404679423,0.827476586527471
"67",0.480898106504947,1,0.153409458773566,1,0.32336238816997,1,1,1,1,1
"68",1,0.228953568786902,1,0.924377041197026,0.284281995935623,0.560943151540728,1,1,1,1
"69",1,0.944221976408739,0.291426482364393,0.401647853389112,1,0.804584909828044,1,0.354402887187651,0.691679242381468,1
"70",0.205111330181586,1,1,1,0.534946922122213,1,1,0.614572046720468,1,1
"71",0.420197347195198,0.24292380136174,0.268357318706078,0.339360512361325,0.787075022935441,0.938846458088692,1,1,1,0.817658013588885
"72",0.965840575342499,0.373619960749155,1,0.0644311386099452,0.574420025905337,0.505119723883944,0.69049257105694,0.630295030544751,1,1
"73",0.842759681945308,0.494153189698481,0.560740508974962,0.605243116600515,0.673161683799952,0.537028806016387,1,1,0.48980297686729,1
"74",0.166292233923604,0.901819862483735,0.359415977830242,0.197290844919296,0.24485458085402,1,0.607340400885211,1,0.869384743938806,1
"75",0.34960114180375,0.0993989437906591,0.142152907346986,0.846019498838528,0.937802632752,0.895626494788662,0.920862063361326,1,0.945853367978339,1
"76",0.910259914087009,0.807223951356299,0.460121615328547,0.834939250791708,0.104221777013566,1,1,1,0.560521644969099,1
"77",1,1,1,1,0.372649569220111,1,0.720121249492007,1,1,1
"78",0.201227729600207,0.0896044755506265,0.149999049997267,0.542096508778472,0.105847271823693,0.925479885224749,1,1,0.693860918388132,1
"79",0.393605026069315,0.999719134986582,0.553294948031767,1,0.333786552098184,0.663871889052367,0.46029917647031,1,1,0.476018921935087
"80",1,1,0.236067230422543,1,1,1,0.925499498948923,0.997584567675294,0.81842076645416,1
"81",0.0446241922130515,1,0.887926018543091,0.637529844985897,0.431554656645932,0.663174813383328,1,1,1,0.374680710105219
"82",0.436049968683412,0.0534657351922197,0.0568736099289641,0.154737872802229,0.237396363795569,1,0.145386026264195,0.190356759678589,0.499345399756727,1
"83",1,0.428998801161786,1,0.775988060453705,1,1,1,0.813492901009581,0.593733357458634,1
"84",1,0.413022939633329,0.879803950877916,1,0.724432683277241,1,1,1,1,1
"85",0.0427510626609401,0.434576302769686,0.185383172061305,1,0.0628553313707959,0.328848208641815,0.101112730611456,0.243826689775802,0.122803116347965,0.546544061581344
"86",0.337734099602027,0.0592058296764433,0.380442630957625,0.143107420399598,0.521978616493294,1,1,1,1,1
"87",0.825960875062125,0.141494728192984,0.778875755212999,0.635532296885633,1,0.879254879585388,0.642390239710755,0.675583337366495,1,1
"88",0.768919400970138,1,1,1,1,0.778543852340289,1,1,0.455409021177093,0.927876236963503
"89",0.288666696023691,0.693835774938266,0.00552553189812185,0.0241656327235828,1,0.660130070330012,0.0345388090025309,1,0.699412748618555,0.639629269591475
"90",0.400140485128247,0.692891058149397,1,0.180340901654969,0.187274951433645,1,1,1,0.336029915768991,0.384130958927716
"91",0.0625150005369631,0.152752330073768,0.129737208132599,0.568851199931148,0.072183790788214,1,0.167737346629654,0.248090077198123,1,0.157388488553925
"92",0.163954140794022,0.204899096119107,0.262754979912109,0.216467537370099,0.691630670668957,0.322833923347121,1,0.272235815625664,0.923065106749521,0.311366514020918
"93",0.429489345842558,1,1,0.385685603947538,0.859669165372118,1,0.809536194935996,1,0.568889608336004,1
