"","p 1","p 2","p 3","p 4","p 5","p 6","p 7","p 8","p 9","p 10"
"1",0.375844518925498,1,0.638944397781726,0.477544312760622,0.668134975407937,0.828584668661353,0.250135925933396,1,0.884519453592111,1
"2",0.0821847064397053,0.0561448845913245,0.398953153905606,0.0210300675837688,0.028902109673175,0.57748968004309,0.0191652166804903,0.0676524848902589,0.349129621547609,0.187759636832127
"3",0.0556890389385616,0.12894317134866,0.117783010144693,0.25780693430586,0.395416282788854,0.00674893152904992,0.117938505182999,0.046745013883396,0.274231334547894,0.131545106780221
"4",0.389490021565133,0.258861291803183,0.0548418475517487,1,0.437327103776312,0.140065303097611,0.136279972566221,0.258451049068818,0.653157945275609,0.596399881330908
"5",0.135863276203202,0.0978111966369038,0.436198933613622,0.369622155397767,0.333269044057011,0.684473080339405,0.4225515092522,0.0331342364693042,0.129845249197112,0.0974736113238141
"6",0.406854967497934,0.99267935662323,0.669549254840646,0.947812632118001,1,1,1,0.945375819769695,1,0.834582904666224
"7",0.245912930268917,0.0101359521938209,0.240091746353126,0.637003447474892,0.222046789835925,1,0.279943733516804,0.141954068105804,0.211372300905095,0.285513704921935
"8",0.202485781416726,0.852028163458094,0.861213203809531,1,1,0.695388217427809,0.723266403024181,0.884557558940161,0.703358432565531,0.136414887313915
"9",0.0459716150498675,0.0276158311772967,0.0436315677086821,1,0.0191215100074737,0.0990350303318952,0.355023811821931,1,0.340842757248663,0.0195872649002845
"10",0.365780631676386,1,0.937560434314428,0.649809604554938,0.710896939421521,0.976722279228376,0.298029102466478,1,1,0.940425934111512
"11",0.101904033552999,1,1,0.811546678001087,0.617305731418673,0.218343130398882,1,0.742760148660432,0.671067846175312,0.756240553311196
"12",0.285521090364086,0.947056254232719,1,0.35057848503332,0.624637537801384,0.626084637789235,0.0802767228843746,0.52674056212319,0.988715692216795,0.438214025578888
"13",0.550859535541064,0.605655610925406,0.562972556646334,0.0816980187969297,0.541283651381642,0.73335730960329,0.0650961553584801,0.0982797758542811,0.0493922030314918,0.480489297028641
"14",1,1,1,1,1,0.248919636515319,0.720026941373426,0.85594549741726,0.660691275483082,1
"15",0.0298039031349795,0.431955554600051,0.462747821906009,0.0963909792119605,0.0274248320936633,0.029375168218995,0.270341461640528,0.170977959613845,0.062002961736364,0.390896546083677
"16",0.229608172859122,0.0975407185977344,0.0299488166693941,0.181302887083674,0.110947260622146,0.0055694143628726,0.11107335854407,0.149077337888728,0.527814141347776,0.0607160573758806
"17",0.123219911022284,0.318228012413164,1,1,0.755250650973422,0.439100871928623,0.219136003960974,0.574025289495599,0.821614601481442,0.505350841427734
"18",0.0257377038473389,0.0229495571729227,0.248872847929625,0.314549459538878,0.187229877499193,0.189860296733784,0.187633710557115,0.363943335431835,0.036945594591423,0.0136764010851483
"19",0.0145535368241663,1,0.20954561654243,0.257692945243998,0.755189893469521,0.754267936909774,0.0124377374187056,0.239875339851791,0.279968363505746,0.0249013935169092
"20",1,0.741729325879253,0.706418137274037,1,0.982807131496609,0.448122635231615,0.320149775268243,1,0.868100380858883,1
"21",0.75154447427935,0.306266999232347,0.808540512223026,0.763594915510657,1,0.922208962268728,0.0828173639596821,0.95988516468248,0.175904171098934,0.653838498520945
"22",1,1,1,1,0.777140629501085,1,1,1,1,1
"23",1,0.908003081262415,1,1,0.487885153911369,1,0.823848528419576,1,1,0.799251534349867
"24",0.729823735189414,1,0.380856481344489,1,0.60562697292113,1,0.805647003635164,0.779046784702659,0.631957538973031,1
"25",0.406205561944454,0.287798060730239,0.518915507107145,1,0.773938388172793,0.249128393096066,0.714258905009278,1,0.394314467869007,0.737554865463267
"26",0.318213902548618,0.580616413461271,0.101270277118079,0.541766959797765,1,0.983641198252503,0.173026985308049,0.0519545064163724,0.130647753448907,0.0995029804821822
"27",0.593472464745226,0.166860759395052,0.151029134550894,0.281136680157805,0.0398856114748994,0.0631858413658227,0.0598538773024904,0.854569419738579,0.315192846503664,0.291895232300196
"28",0.295035527015703,0.187591336263969,1,1,0.0682564208656585,0.662615141543451,1,0.224331823822072,0.505868251458741,0.0540199683288178
"29",0.0365487201291303,1,0.215784181417911,0.737140366919573,0.330919801179117,0.0124391615015799,0.0339040696563411,0.0434106596497273,0.087170042224338,0.170479755785402
"30",0.670176613834893,0.664044674010843,1,0.868461594021636,0.405511810115335,1,1,0.883624385805502,0.182997252934061,0.337995713392742
"31",0.792213714270898,0.88347863029539,0.318106000205137,0.445723923318582,0.857080346825917,0.309990292341659,1,1,0.0957708959570231,0.632237133040182
"32",0.244985438920916,0.607637419239105,0.305282842450225,1,0.564893352177011,0.291888295211803,0.102103285281982,0.25856447391739,0.620323620960735,0.364605391966728
"33",0.605612864225035,0.374624724676039,0.154948494317532,0.286197383680034,0.0273251636958866,0.412947837660548,0.0659349151088936,0.871549451425699,0.0783734180624282,0.205281436092131
"34",1,1,0.0403744974751227,0.0890521603605754,0.481992555634415,0.124906638997794,0.59287140351076,1,0.835543412201972,0.451929765875666
"35",0.0533567396216465,0.0225415424054844,0.924184096721114,0.932459533491162,0.605002231294816,0.0379984329476312,0.0119387171208822,0.382439002642872,0.231583120805088,1
"36",0.809962900903403,1,0.0706957204219748,0.31528892263515,0.60548173885608,0.959487639488646,1,0.0152212093222509,0.0908422324219593,1
