"","p 1","p 2","p 3","p 4"
"1",0.00850286100927111,0.00966154947017777,0.00779703841455109,0.00822497217068246
"2",0.177418896450074,0.855418686893634,0.048333167621997,0.0553739733708394
"3",0.00869617204674525,0.63644622526736,0.00848227000186707,1
"4",0.00837546229343481,0.0976313130501715,0.00766160023501945,0.00510131997208551
"5",1,0.174080853380142,0.151912456513279,0.143648276507932
"6",0.191260190680638,0.0627672465978539,0.0085278387563539,0.00795437357914051
"7",0.090569340271666,0.0857261449321573,0.030203708518215,0.0121552759797189
"8",1,0.0581378797004014,0.281171007732532,0.0210570641795826
"9",0.0384121522253826,1,0.0616246694202166,1
"10",0.817086507348919,0.056811718867517,0.0157567040349908,0.971011985436611
"11",0.0110592020754471,0.783524637972071,1,0.0942197609867848
"12",0.917786420599425,0.020278221805651,0.962791014736972,1
"13",0.320417519304386,1,0.44864473824116,0.712841541014899
"14",0.896153757526416,0.00966235594585964,0.00562327062369611,0.00694570804674351
"15",0.0219137954397013,0.232877742418331,0.0397253842604728,0.00834923474482983
"16",1,1,0.0444428322755348,0.0124213873478961
"17",0.0214808131289956,0.00875609609620567,0.126922183832012,0.0280773261125387
"18",0.806963135451088,1,0.00867483653833385,0.319462725995034
"19",1,0.715037235857996,0.00803929264115291,0.0483027315424878
"20",0.00871172869114652,0.00776840063597772,0.019984375413562,0.0123980021857138
"21",0.339036347614225,0.604256397926134,0.00823394930375154,0.150943996440733
"22",0.489788794066643,0.588128099880106,1,0.871469965151089
"23",0.0247385293254779,0.00778068643511519,0.00884196599434634,0.00826358748164608
"24",0.108947120473987,0.804493586729471,0.00828612685914686,1
"25",0.541678087060529,0.0126755470846211,1,0.668245760972679
"26",0.00880277863239282,0.094730891614775,0.0220532097857512,1
"27",0.00776136937970196,0.00875556784900045,0.580567766781916,0.00836424937395595
"28",0.185097072798767,1,0.00871072453204571,1
"29",0.00876401362361822,0.104163580779957,0.0325128531541523,0.130243502387478
"30",0.00828674809833149,0.259905068083425,0.140676866332954,0.0074521619966112
"31",0.0849093372186743,0.172779027539671,1,0.512992800925895
"32",0.0301423396392614,0.0612857202709903,1,0.0125700005265141
"33",0.0173702958611162,0.447795540590424,0.0123071775684069,0.762839666664287
"34",0.900586319448849,0.745842481661239,0.0105905326010935,1
"35",0.888656352845022,0.023404016349829,0.0371653360414979,0.00926906764624892
"36",0.622711620223855,0.0595625056606279,0.598326916554546,0.0871808694823239
"37",0.00995525636462307,0.00876627775122252,0.634540307707544,0.800263481095176
"38",1,0.0246705133277606,0.253426908380367,0.423040615963128
"39",0.0611994458035206,0.0471424851256738,0.00860783860660954,0.01873982181528
"40",0.00749680781376786,1,0.457577561223437,0.0482721031254997
"41",1,1,0.121242408839003,0.00880403579925697
"42",0.219126984286679,0.0370654390278483,0.0181888891217164,1
"43",0.112217774269866,0.0729424701817024,0.0253678622500308,0.00759446880607499
"44",0.0417683435644307,0.00727621738099842,0.056711686590387,0.0604696414415619
"45",0.00876595247106494,0.217401082999282,0.38648829076609,0.00965927945130402
"46",1,0.0483971670344491,0.739952168710339,1
"47",0.00893194455910452,1,0.0193535826599314,0.0700219720552084
"48",0.685781308886769,0.457575032076256,0.0640633846369681,0.136116331978438
"49",0.0101292815329104,1,0.140508365909014,0.151256190059604
"50",0.533741488791653,0.00919656738030898,0.02003569150368,1
"51",0.00653163605758196,0.00764652784103417,0.0148839210010036,0.00826207966120797
"52",1,1,0.0145658412174482,1
"53",0.355511823265506,0.0131942620590775,0.270398871620324,0.604787541582691
"54",0.00777002332610523,0.00845817362272868,0.0114211242516095,0.00722989509668668
"55",0.0114339559276091,0.00834074630986617,0.0098764087325567,0.0327196225363743
"56",1,1,1,0.00885319190135782
"57",1,0.0642937167191552,0.00868417459099037,0.0389891579372561
"58",0.626180371362706,0.00847857193775621,0.912460858072761,0.0143563506764803
"59",0.0368545319260795,0.226261373086592,0.00911199293624444,0.0123007476547204
"60",0.153966658042469,0.196890967512382,0.00794612816151219,0.00803086022120737
"61",0.0284594478363828,0.00971191821698887,0.008871142179338,0.897614213798922
"62",0.00891585565920803,0.00834125454866218,0.0180883723967094,0.0159713879319569
"63",1,0.00849356324582145,0.471591176005844,0.0248828281964792
"64",0.544942940407888,0.00837779791387248,0.0111556294820717,0.0306647389487124
"65",0.153041300848773,0.0141374866853468,0.00878312798635484,1
"66",0.940922928945474,0.00764160033748465,0.0582053518999602,0.182021791256457
"67",1,0.0287887035218365,0.00905034774665803,0.0127711445977402
"68",0.854329937389191,1,0.0108462326813302,0.433841926716611
"69",0.00849905502049457,0.45904144732302,0.00827604917421041,0.185032713281061
"70",0.00832485879291821,0.013595967699724,1,0.181195790503196
"71",0.00893292111320001,0.00870492013591749,0.357610315553913,0.414179753344639
"72",0.0398978507909237,0.350165637673631,0.822733164015148,0.789362580280338
"73",0.0120491467093287,0.274439112744304,0.00614563532141562,0.640423117876743
"74",0.00875558142347476,1,0.0105278054745937,0.217454178433519
"75",0.0385406778100309,0.00848448284945902,0.527438420773461,0.462532426059469
"76",0.851055241073982,0.860128677113263,0.00800643277032028,0.0129283906072067
"77",0.00964095552018449,0.0453470306714125,0.00876031811244543,0.213165699562196
"78",0.011164420518485,0.05754900231568,0.367072766765219,0.509537143368577
"79",0.781364030114344,0.019019631514184,0.0097423563462707,1
"80",0.00894183062761893,0.184776848021217,0.00901872081438542,0.00806995770387865
"81",0.0207167391910152,0.0282783267319861,0.0132371305499129,0.118825147832821
"82",0.0412229080382817,0.00864198526193693,0.0254715339197283,0.00649398398271166
"83",0.261070183554842,0.0164557335407889,0.439313089445344,0.00917882755364907
"84",0.0933878629327522,0.00910651877340732,0.00699683235291465,0.00702381550045736
"85",0.0166935897229595,0.928330628437674,0.205163279813307,0.968646320170961
"86",0.0152788829468713,0.138176001652017,1,0.0974471389888703
"87",0.532248274443777,0.621835753661149,1,1
"88",0.141820276649462,0.00987985576116837,0.008409456106463,0.889622288014775
"89",0.344279067233084,1,0.0112563057929601,0.135306954826899
"90",0.287666518820473,0.122530543721165,0.23195279937694,0.869406480837367
"91",0.00733011626345697,0.0554737855894353,0.246061764453565,0.015841158269891
"92",0.224404423247295,0.00950945169461797,0.155937094125495,0.00906734982139893
"93",0.0103208443865424,0.0265335816015198,0.0182771162049469,0.00877321579888115
"94",0.207536741297547,0.214876402498215,0.0126591115545358,0.00893096691830647
"95",0.0269215155835572,1,0.0102371363311418,0.00894592226383578
"96",0.184820729968259,0.00818032235337667,0.00787904802418569,0.0342102546318615
"97",1,0.00851721551637103,0.0283721504047882,0.00966053980238763
"98",0.00689553892346154,0.00730800183027392,0.0163068765198341,0.0159628141430392
"99",0.0139883218138036,0.168650495967018,0.028770968726627,0.0359682593983916
"100",0.00986601097151789,0.0155705179243435,0.00773429268187826,0.0123423604027126
"101",0.0089563993162018,0.0257875901325266,0.265140457475137,0.00892078581009265
"102",0.00646969983877282,0.522008068524183,0.00943753486910898,1
"103",0.00761647516358541,0.45373399096894,0.0116308505422607,0.0100552414353437
"104",0.00790269074908402,1,0.00873611385199309,0.0156864264068926
"105",0.00967508181129725,0.0112869983314947,1,0.00793629120062892
"106",0.0397942252114726,0.00792956574583848,0.508405041766194,1
"107",1,0.00854578677708633,0.0231890756817165,0.00852132189750296
"108",0.0105730640309233,0.0154606455293971,0.00937717169208614,0.00860221170741762
"109",0.276992447350893,0.00895474941028969,0.385949757873421,1
"110",0.155872177805991,1,0.0506291771067269,0.04130099161081
"111",0.0207404680597101,0.110518843872688,0.535786669458495,0.968116555291881
"112",1,0.0110961979347429,0.121095394748169,0.00966190385325199
"113",0.0078878487159987,0.00832411983110548,0.00936350431133363,0.00884117736458829
"114",0.143255353947123,0.727217170454053,0.0104944411562546,1
"115",0.462935316618054,0.0265740147502324,1,0.486208447969289
"116",0.0157590311845199,0.0053683300361115,0.0095458474507391,0.011560991787563
"117",0.382392775646684,0.00853339708302948,0.021331174303043,0.0114002666743809
"118",1,0.011075433641635,0.0197275493466487,0.00737530664110487
"119",1,0.0181489409828165,0.595946671060716,0.0394522347066625
"120",1,0.657839895454411,0.0710296916577956,0.018061801540878
"121",0.377025401952379,0.00797652562295858,0.582272937278649,0.0162038597470324
"122",1,0.039778910156499,0.00829405438887057,0.0272858869910784
"123",0.0266957550425969,0.0095044036346952,0.013469488224337,0.0146319374542218
"124",1,1,0.120983069424702,0.184894612132906
"125",0.00836458519601075,0.0763568172285957,1,0.00993028602415965
"126",0.307239361163837,1,0.00747985676098542,0.00754965504649928
"127",0.0140024364092116,0.0137086525825426,0.00944850769879654,1
"128",0.0178172065874453,1,1,0.0246994239650707
"129",0.0148160967772351,0.0138953481740038,0.00782683534349826,1
"130",0.0126053459752332,1,0.501458885183716,0.00984264968715308
"131",0.00801590842187883,0.00800876190048713,0.00805609001609803,0.927679279261652
"132",0.897600900213492,0.739767096644013,0.00792449710103286,0.0270318195706491
"133",0.0329494674563023,0.999496864045904,0.0223827946376109,0.00830776430538945
"134",0.0137985928568424,0.00868619364028229,0.00772571584354079,0.00983502882409599
"135",0.510450574563585,0.00931590449515562,1,0.0154793403761391
"136",0.0545374343985579,0.0492609808451649,1,0.0686614908993876
"137",0.00770547360601305,0.0137690042351146,0.0087985798173776,0.00787036230396836
"138",0.00790190002118348,1,0.0110083435827353,0.0252811056606993
"139",0.0170480116714362,0.00862499947806321,0.0070611687489562,0.011220603105471
"140",0.230241175995408,0.00863835766547724,0.0128068496496066,1
"141",0.650857580285848,0.00828781885524051,0.0084034886262438,0.00799604674914544
"142",0.478611510983708,0.00906790932061562,0.0310683214009952,0.00858327523926881
"143",0.00872642505593765,0.024542245728073,0.0228078933121038,0.00872618955409982
"144",0.0084860877156341,0.00843157438487706,0.727920738748575,0.601784106761536
"145",0.00873777887819175,0.0882985236982749,0.00783820020197589,0.00940467810280381
"146",0.583401479569106,0.0840809589268292,0.0123144132980008,0.00970560670975052
"147",0.473139479245918,1,0.00898670628556446,0.660472763795855
"148",0.0299828926332969,0.185900628725814,0.966017859039032,0.0076083987979881
"149",0.0220851105547799,0.0831663648693414,0.00864949731398518,0.00934466672793902
"150",0.177218448590973,0.144558273913884,0.0732497490929989,0.00982334384003013
"151",0.00823402038825168,0.202342066663974,0.00896977976407741,0.00892014775690885
"152",0.816530523895241,0.907612741313433,0.00811883695163845,0.762681452265668
"153",0.160126577174995,0.0241300545392167,0.330504393609447,0.45071796823041
"154",0.00841478147985304,0.0638113498784464,0.00922046046763532,0.00855488540446163
"155",0.00827899972863297,0.0109065537256128,0.00772122883275122,0.0118728710734154
"156",0.00860141469059189,0.0217195073657326,1,1
"157",0.00927053707284757,0.341829999457714,0.963501164646701,0.00910311572223796
"158",0.0199968688776146,0.00735976423806438,0.0477642724841378,0.277893015552818
"159",0.484187261315283,0.00486991475202629,0.0149334467152132,0.00804910563466086
"160",0.00860656805707017,0.521273767424108,0.502265078221888,0.014132782649027
"161",0.690081922917575,0.856614702672608,0.382977347389804,0.455550794864731
"162",0.00887920366792275,0.0841269968990465,1,0.0252522599850752
"163",0.0177784955863091,0.691100761935004,0.167721814808771,0.00771977721767201
"164",0.0497462005186698,0.00806661126892761,0.00819674638867403,0.0431756387207216
"165",0.0086126353550741,0.00949090194426455,0.011031947049039,0.805533221796807
"166",0.0289568799927879,0.00871397608258472,0.0362540159983995,0.00900271129416619
"167",0.667561017285639,0.628597651683506,0.0236265977110565,1
"168",0.00954818144668616,0.00844372387515994,0.0154693117866278,0.177436692839607
"169",0.00834854344344737,1,0.918464396209991,1
"170",0.244091821293408,0.445137419793861,0.0216159069426602,1
"171",0.364639320538786,1,0.800249427615392,0.00820924218169733
"172",0.0148295856642819,0.0172940542178676,1,0.0245702289086458
"173",0.125890005387459,0.0806566403904286,0.0112605272645893,0.00865124106343286
"174",1,0.668063100502998,0.0169403803167267,0.0104691794465729
"175",0.00896542582412086,0.355802919133348,0.00866421615006456,1
"176",0.00633485569268722,0.401915997253545,0.745074866469714,0.00944973772874392
"177",0.67901033738476,0.409488526442841,0.0748726796855329,0.232236674525802
"178",0.00878234069539388,0.0284072804377659,0.0935495243814679,0.0591307877139767
"179",0.0161126391008483,0.016194775438566,0.00702451938264978,0.0219323872922721
"180",0.00793092479486835,0.00688768064161937,0.0128383052426981,0.0087151794225539
"181",0.470009729514791,0.00930649858502503,0.32651923646969,1
"182",0.323819153208405,0.14469912606955,0.0955717028474453,0.15628856608435
"183",0.00917514583248841,0.00865934947469548,0.0105034629726872,0.00717195008310623
"184",0.0565988298871287,0.00914073967409377,0.159719282993218,0.00895846484287472
"185",0.00895330890594081,0.157654986322742,0.519084961382476,0.00918290068624574
"186",0.0365434342208552,0.243977246893701,1,1
"187",0.0661995051248149,1,1,0.0091767377581171
"188",0.0150678521638583,0.00776184003904303,0.0131456603775754,0.00859652039400885
"189",0.853573214457921,0.0343558762753042,0.00979246411943241,0.00833305005887513
"190",0.0142460647178259,0.00921614084412097,0.0363231636236973,0.116027755922397
"191",0.01211324327221,0.0212182925684105,1,0.866772634050183
"192",1,0.00854580639797597,0.00689373485481869,0.0124156704423414
"193",0.394731424428756,0.0113087999325829,0.0100814765158731,0.012496106862725
"194",0.140021421236733,0.00899520341388865,0.0432908972998425,0.00891331058321069
"195",0.0710296039862443,0.461355005579205,0.00826256231307332,0.00739642579324427
"196",0.00737108047892452,0.0078298142924414,0.00782493543029297,0.0143748396591333
"197",0.0467460753279622,0.64682404626602,1,0.00860676194858565
"198",0.00888619606632883,0.00819879773117985,0.00755088212737162,0.626065998864333
"199",1,0.00904036010077287,0.00823853279780534,0.00758222632889307
"200",0.918197073784686,0.00881361306117674,0.0346618089886475,1
"201",0.00803561085269731,0.230855106805457,0.0185700644806598,0.00886233740403935
"202",0.00885113564571488,0.670019255055196,0.211100219046437,0.0990594348742861
"203",0.00928316970733398,0.00853167889528081,0.94375933293882,0.0206035643277017
"204",0.545202606598886,0.0176015326185083,0.0962350749955426,0.0286977647567132
"205",0.407757231928776,0.00925347979917233,0.431728642933474,0.17108676697383
"206",1,0.519598892978118,0.826081360193947,1
"207",1,0.00905852325825073,0.0115070015363217,1
"208",1,0.0109117418663583,0.0167934095274531,1
"209",0.180113973638997,0.0127918845590567,0.0127241658542163,0.0780835383934176
"210",0.0643091347034101,0.494109220719015,0.0505319288197491,0.0574120282937013
"211",0.00920757322602148,0.0136565913139793,0.00767470909180537,0.830031566155255
"212",1,0.00865974885435431,0.661007048459594,0.0588859365327879
"213",0.00824837244037182,0.0806893767791027,0.0181369646360325,0.866127756136285
"214",0.0109081853378947,0.0128004506807901,1,1
"215",1,0.116428123214611,0.680961918645229,0.0901957411835803
"216",0.0176811412121348,0.52540234437533,0.746951376108328,1
"217",1,0.870192697609792,0.00845035619659416,0.00957192036797647
"218",1,1,0.0146254369309448,0.0184587048658116
"219",0.00773358392798273,0.0369794137457557,0.00839409157534651,0.0256162839309339
"220",0.287681238153292,1,0.150458566179592,0.0082622370634651
"221",0.0172393153823277,0.0111732692886097,0.114598687979457,0.572761855008688
"222",0.12900272137698,0.0105450757816858,1,1
"223",0.841405103990956,1,0.0105659680181246,1
"224",0.318505057360715,0.0952262123884148,0.171274996290604,0.856011909238708
"225",0.0237500260574775,1,1,0.0212511152348629
"226",0.597455282551045,0.0147073886442778,0.00827499858210641,0.340994363329092
"227",0.0101711523488935,0.0148704263026309,0.00958313466959127,0.0180934111096425
"228",0.0724475645738586,0.0566851813891189,0.519101670023217,0.803184949925237
"229",0.00767256592660761,0.0579429847488864,0.852353915402474,1
"230",0.0331584973435399,0.00869922723612354,0.00883627748921824,0.0172548002007921
"231",0.0163919805500358,0.00819440646625789,0.0200588715969026,0.00747502608858738
"232",0.652764800237456,0.00845627824001736,0.0173274430356507,0.0540825108858931
"233",0.00810035935646422,0.646003564732694,0.0402070063496327,0.0142841959118233
"234",0.541279647988385,1,1,0.0502100732113548
"235",0.513426944433652,1,0.0154553540761685,0.0264375765266861
"236",0.162833430876573,0.00854744696741937,0.00902581146923646,0.864960026428971
"237",0.29052957984974,0.00884955603332411,0.00829390787980101,0.0514451097122651
"238",0.958517368516262,0.00809593827860639,0.511154363222546,0.0446141997192773
"239",0.00890331566593272,0.0166075077011185,1,0.00843399107508747
"240",0.00849607860667321,0.792113231685177,0.0245464767966228,0.0582639986429602
"241",0.340475436277931,0.50410217111927,0.0516162927018856,0.028124421862487
"242",0.6154187426818,0.437792193667644,0.0250791049214938,1
"243",0.00821678451802792,0.00845792068993901,0.00721477804402094,0.0082911340603615
"244",0.00825079945310332,0.0147531466088796,0.00891579319941891,0.00782152726473791
"245",0.989371522670956,0.588553761433419,0.00804364894953969,0.798916238312107
"246",1,0.623079296019147,0.0581596437805307,0.00825250152409952
"247",0.019825311780267,0.0083021169726973,0.00829298135978597,0.0204035458769798
"248",1,0.227075037042101,0.00873354795691739,0.0254091525986855
"249",0.00895802494964173,0.308333888979154,0.0141149555842787,0.0113438489657446
"250",0.0143693515676356,0.0086898134457064,0.0278923696281896,0.00796729409206277
"251",0.00880616542891503,1,0.322193971343584,0.0130025011495999
"252",0.00983589552684809,0.00796073929397635,0.901237150685517,0.794873057963878
"253",1,0.00575981445127206,0.811904083612427,0.0070164864868344
"254",0.0184651789104926,0.0422527615605172,1,0.646520993033996
"255",1,0.0396031505500073,0.0164691012809389,0.019111709490734
"256",0.00826568608106805,0.442237559581742,0.00867171171805862,1
"257",0.00823314265446524,0.00782434507850352,1,0.00877247231489916
"258",0.14432288737993,0.12454027246756,0.0183570745577624,0.00725150610729192
"259",0.014519443569098,0.305257164140769,0.0068177244509671,0.00736235447993131
"260",1,0.00924479040463888,0.655017643661915,1
"261",0.00761481813936443,0.00727549489920842,0.240784910521767,1
"262",0.0141312151671734,0.0664154899128026,0.74174263126714,0.409201727051429
"263",0.00861332916691646,0.0128732434912761,0.00857948848276927,0.00831777353337537
"264",0.916591611234,0.398146604245296,0.0916209442498757,0.0343806649330981
"265",0.00812043617371609,0.0178858179775265,0.00865954120543379,0.0100490591472571
"266",0.0106623760494083,0.987732236221934,1,0.013638433011841
"267",0.0637243780249081,0.940902566911732,0.989319138026246,0.0414955829740971
"268",0.0512337607397016,0.015043409843911,0.0317183208141191,1
"269",0.0106486149915043,1,0.232154019332699,0.00952662027757286
"270",0.00688534896413495,0.960275671784941,0.0129548932606776,0.015979789606398
"271",0.275428671103401,0.0104220834867053,0.00919690648391418,0.0131683740930813
"272",0.00861441039303291,0.283238996416961,0.69810566801223,0.103629263832511
"273",0.692158643537658,1,0.00894912561757426,1
"274",0.0459169995597306,0.0261663364092557,0.0382949823660934,0.375133509186897
"275",0.00588199395887089,0.0680844409754964,0.0107627656545454,0.0100935108900849
"276",0.362521736545019,0.693414041337695,1,0.0261107441539871
"277",0.0123832704585215,0.0182269282505804,0.0283781922874401,0.0104929631427422
"278",0.32519359719053,0.326724292893222,0.0279066643176243,0.00995905020408749
"279",1,1,0.00882150409015884,0.630340356284787
"280",0.0082411273503586,0.00826374991026025,0.115927291993185,0.00859667828047187
"281",0.00697970226755264,0.00812722134389901,0.00802066598646219,0.00813041219661518
"282",0.0153631916978161,0.0122254620260019,0.38149343759797,1
"283",0.0077015648014939,0.140059258218069,0.00675267989018004,0.00837790628451771
"284",1,0.0444616786123497,1,0.957547545997446
"285",0.032510158858282,0.00914159560933816,0.698262851997094,0.0333008746660623
"286",0.557856777364836,0.0321985094185062,0.0080481359476993,0.260129927121261
"287",0.807208705667002,0.00888323782043156,0.257331434293469,0.0830460836160627
"288",0.646097659719024,0.501293732429775,0.731928167442848,0.295565857180579
"289",0.156109875930698,0.920631116320614,0.0387077902847073,0.527251065407947
"290",0.0204536393733124,1,0.247707813538334,0.00791118833445253
"291",0.00862022257913749,0.00847281881894709,0.198922221183931,0.0123010997603713
"292",0.00986080968322705,0.00703099604844125,0.00811041248697676,0.00812212087494039
"293",0.864627552707491,0.511676484423972,0.449092861649274,0.00888641460523131
"294",0.0146702376577783,0.423180978656749,0.446028002891625,0.0340526305739341
"295",0.0263846878836858,0.00829186542230314,0.189808341784324,0.00914976379967413
"296",0.00879236869054602,0.0150896719526526,0.407077072683377,0.00879062437635737
"297",0.0139976533343207,0.786441613794225,0.0224668338365029,0.00865019321606196
"298",0.0171883353699212,0.00753406647997466,1,0.949530977367402
"299",0.39759528621104,0.00958821084913306,0.0623085545615675,0.97035390872063
"300",0.445220945992213,1,1,0.173803576645672
"301",0.960608899250431,0.024152591807461,0.00897208660831338,1
"302",0.0204462182530258,0.794099991199043,1,0.835212783533526
"303",0.721949524448442,0.00887609199466991,0.977601741848373,0.293681348711633
"304",0.00882445077112221,0.0629866344800731,0.0088233697543286,1
"305",0.387307492876245,0.915910874669172,0.00806263272647047,1
"306",1,0.182018755006806,0.00950428968782548,1
"307",0.703054702727823,0.0100557377212354,0.0338264975213053,0.998250254762389
"308",0.217280210907771,0.611699878384989,1,1
"309",0.0904049922423185,0.365312879387309,0.0358852368448708,1
"310",0.723643651650825,0.00895980823034333,0.00962015624712582,0.0332403521609738
"311",0.0344770456150132,0.0219999222304513,0.0123505679028979,0.525503445089208
"312",0.00938182850032012,0.81818770104248,0.438705749781903,0.0948916125763576
"313",0.0442252187004246,0.00764756970472073,0.00797162134287868,0.0443449782708691
"314",0.0181848391020462,0.0160275967734975,0.574974910654233,0.0193275530078368
"315",0.440255438159355,0.348737363832668,0.00840463654448737,0.0107539464604988
"316",0.108755824699173,0.00857808196428693,0.0113159272566337,0.0278746835243411
"317",1,0.00889767523668871,0.124422412420308,0.0596608045462875
"318",0.00859139762523188,0.00678039002101182,0.00653767590027286,0.00628712267480625
"319",0.0103907903473839,0.00889225675684523,0.0236893969884865,0.0469210519297543
"320",0.0226937124819816,0.491586052384265,0.00902169084501065,1
"321",0.0159104866612858,0.0198812758497746,1,0.00775407900544667
"322",0.0361452442193439,0.0407580505477815,1,0.747663491655802
"323",1,0.0100283741962881,0.0129343791218344,0.00839671573844535
"324",0.221046350236714,0.0081867505100915,0.00839977763610879,0.0876827469198111
"325",1,0.864829745713371,0.0604506041898192,0.0137890028598898
"326",1,0.0357000158018677,0.016245081266667,0.48560447101071
"327",0.00877970036409416,0.00785613911285672,0.83576199072817,0.00777491319794653
"328",0.15657545670728,0.728145764209789,0.0569317748978717,0.0128335558667061
"329",0.00816455573768882,0.0670926742042172,1,0.0214440278625805
"330",0.00931997503642743,0.0161801617701711,0.0094860504104255,1
"331",0.00824019370618579,0.00947682687122519,0.669476725109086,1
"332",0.00871167958654061,0.00736554829767666,0.0083969029168521,0.00932904438770702
"333",0.00761700869720793,0.00724040125580447,0.00670077839341432,0.00626000158785984
"334",0.00853386543957638,0.955562902941856,0.0112410406234503,0.00833570788234039
"335",0.341861711374794,0.875695832215527,0.057415390964486,0.860659947397101
"336",0.0148432163684218,0.00809584093928074,0.00846444251529395,0.027156500225312
"337",1,0.587173397156403,0.0170118086248089,0.00962078056817312
"338",1,0.0086837593264865,0.021848934832029,1
"339",0.0174959206911738,0.0115741724276981,0.00862040809228365,0.0128317509642903
"340",0.0120705674887234,0.0110728304588193,0.969994525774415,0.00905881725981248
"341",0.104398202969546,0.00761903803708472,0.267137174366646,0.0101004765597985
"342",0.415106188586837,0.00845938610287423,0.0275593843056293,0.70804629766232
"343",0.650802453670763,1,0.0728194283287609,0.0254371820661126
"344",0.458744983113127,0.909466278426177,0.0586424973746887,0.0091126294156319
"345",0.0139272373814112,1,0.0088589538702365,0.0756440445781228
"346",0.76326388102698,0.491786153059695,0.748742341599923,0.00880334735341321
"347",0.47612767300348,0.0373519053076492,0.0081802319586417,0.00869745791831598
"348",0.0247707607953738,0.699737000950047,1,0.0484012717872299
"349",0.0496636938356904,0.00886921507100615,0.00901195077646364,1
"350",0.221983746956794,0.00836282647386071,0.00871886318224674,0.573766596978903
"351",1,0.488330755488353,0.584885666740119,1
"352",0.0382763865348644,1,1,0.00803571235865979
"353",0.0280421661473812,0.00872696762933024,1,0.562168845551687
"354",0.137228482653886,0.0555264955949751,0.489389108456037,1
"355",0.0090950312364766,0.00891485738848033,0.0436311023197418,0.991067871623758
"356",0.00848455124190942,1,0.592919487515523,1
"357",0.0132531494369812,0.346243472733313,0.0226850754480573,0.00900440364983617
"358",1,0.00974287147963819,0.2771550988702,0.0193977597271334
"359",0.327921011309948,1,0.0237820620338415,0.0566072489064751
"360",0.101347359129123,1,0.00860169463423142,0.00834112099258627
"361",0.81682108154194,0.0300251484585528,0.0136083555472594,0.0336577006728484
"362",0.00868020657255369,0.384401955780278,0.0268444684884204,1
"363",0.207224284495759,0.0118659865342701,0.0157623045939952,0.16302648177987
"364",0.0142748373354959,0.0085722437297941,1,0.348852383609467
"365",0.0223614847927143,0.00807715225905766,0.00836286247530709,0.00887636667079023
"366",0.0926626024589096,0.00842622854718436,0.23661491057084,0.0225932749788565
"367",0.928620138595869,1,0.0148731637459382,1
"368",0.00791964099553847,0.021154042676647,0.00753842290780305,0.00846520179160873
"369",1,0.00919139376879099,0.0082768792162373,0.660248745708959
"370",1,0.00717143851878369,0.00859651008224444,0.0278903381010315
"371",0.00818123793422447,0.0220678990475914,0.0075961001606952,1
"372",0.489149219923852,0.00634223501431284,0.0310352033695713,0.215008906340924
"373",0.0277788694489324,0.00863181009264761,0.0127229675716917,0.0325742959300507
"374",0.0169354176597295,1,0.853467938623301,1
"375",0.119288409797373,0.00850167058397851,0.389714334995599,0.00806152109605113
"376",0.0109808444904828,1,0.0087953510633247,0.0504360753099224
"377",0.802845455378523,0.020806959661032,0.737563665435446,0.776675343817295
"378",0.00890537352822008,1,0.111737632159689,0.841711701230395
"379",0.0166506524754997,0.24295715860185,1,0.0157745818436822
"380",1,0.00981620797998066,0.0191794287195337,0.00840248634937694
"381",1,0.109266230634735,0.233685973690982,0.0299696108725172
"382",0.00754403096146307,1,0.00868176625196508,0.0318558108419439
"383",1,1,0.0151649440565552,0.00871267365767398
"384",0.0465545419256483,0.00841244651803343,0.0220525716773739,0.00538025159294386
"385",0.00872637350216857,0.0572019802017376,0.0917026510902812,0.0264116928218014
"386",0.803196137127044,0.632067610709025,0.00959745174441323,1
"387",0.773654284112195,1,1,1
"388",0.0771024849326701,0.485463054137937,0.03116967927444,0.0231279967870757
"389",0.0400728886266567,1,0.724662913739136,0.0399639278765265
"390",0.00785650851181673,0.738492854429481,0.00878020788419732,0.00552591257606172
"391",0.00815653053410198,0.00779651493842505,1,0.00820559355549993
"392",0.00842084134496765,0.73754194925156,0.00975660556788855,0.00867135408171145
"393",0.105120177248307,0.00765113154002652,0.950955778768053,0.0362456975837118
"394",0.0178146784347443,1,1,0.214744971239104
"395",0.00959483855155291,0.008597439112379,0.00903391868725341,0.0124598837923833
"396",0.0118919646968034,0.00835854362716634,0.00732269426448969,0.00755937622879194
"397",0.446393625576956,0.253624158158594,1,0.0112092530659097
"398",0.0211637074883086,0.00857386066338182,0.0284993013839595,0.0232670169313558
"399",0.00789139228598395,1,0.0130342440449215,0.595809240344655
"400",0.0210100760482705,1,0.323460041820364,0.714921212192612
"401",1,0.0380884652760839,0.490667445408701,0.12049475498749
