"","p 1","p 2","p 3","p 4"
"1",1.35508844651545e-21,2.278993406648e-26,6.54359569078621e-30,6.19445035930363e-24
"2",7.43670763519047e-26,1.08656269673116e-23,1.28929134728776e-32,5.0783172477653e-22
"3",1.57135457861396e-26,1.65855739937029e-30,4.25554512235188e-27,4.92287635363881e-29
"4",2.47714071600078e-31,1.98241981952692e-22,1.21211926443994e-23,6.10289964868518e-24
"5",6.0324752439169e-28,5.60153841673206e-25,3.30611748543036e-24,5.22707229139942e-28
"6",5.39694771094243e-23,9.2118354526861e-24,4.98029322058251e-26,2.06580998714055e-28
"7",7.41080773408171e-27,2.39130136341126e-24,3.25640800218245e-32,1.78714766561414e-24
"8",2.17252144018869e-26,5.89930925230505e-20,1.2189010820976e-26,7.85496467728152e-30
"9",5.95964799376659e-34,1.34802738068662e-23,6.75011943026903e-21,2.10140146231051e-26
"10",4.22169563159559e-27,3.70181802683413e-28,8.06374925100435e-34,3.26215274008502e-25
"11",3.09802628824212e-26,3.90085415228587e-27,4.20752010797894e-30,2.52736649701806e-24
"12",9.91466067781082e-23,1.30771724624508e-30,9.94394882227661e-25,1.43952727352582e-24
"13",2.32580773824623e-29,1.13116128127948e-26,2.80596008709296e-26,9.73339959271615e-29
"14",7.50852776889531e-26,7.11436619041136e-28,4.9243081167782e-32,9.5738622657758e-27
"15",5.30899778102489e-24,4.19914590981956e-21,7.60422852039056e-25,2.00291755523449e-33
"16",1.60438471689656e-23,6.42407922850522e-29,1.85026304699943e-23,4.90564615387016e-27
"17",5.2835606087412e-29,6.86679171176984e-30,1.25331839795339e-27,7.80011181068089e-21
"18",3.17453250454884e-24,1.99759398596574e-24,2.51321326297969e-27,5.72941161873614e-30
"19",5.96968265470827e-25,8.10243709008081e-27,8.49930656443466e-27,4.65890204180426e-23
"20",6.50031213952225e-21,8.11756490938622e-30,9.29552122348433e-25,2.4592760973341e-26
"21",1.2195721980542e-26,1.13218384146934e-31,3.45895490394791e-23,1.49309044957358e-25
"22",3.60071009768786e-31,7.77070877296971e-28,6.46988134156253e-34,1.05738684103037e-28
"23",1.58435780737644e-27,1.24941041677615e-30,1.2897452234222e-23,3.94477245991721e-27
"24",1.41616827806782e-31,1.26087949179373e-29,1.7564258481347e-24,9.68180962844943e-28
"25",4.90282394068887e-27,1.9952113051809e-30,5.28908437114102e-27,2.61656794242018e-26
"26",1.89380867429853e-31,4.29586963265182e-28,1.75571843909258e-25,2.21920773206635e-31
"27",2.15732467558159e-21,8.33209569258731e-26,9.08004837667356e-25,1.55842976860306e-30
"28",6.11038347042121e-26,7.56063510749193e-27,1.84821990750181e-27,2.13899453091838e-26
"29",2.35592549546682e-24,2.44746939109432e-33,3.72414119811336e-28,4.2156863635203e-25
"30",6.71942407976838e-26,1.77220565064747e-21,6.19424666974145e-32,2.17604433190259e-24
"31",3.81185037690306e-31,1.09550703728288e-31,6.42887070414907e-26,5.00411266152072e-27
"32",2.63501099206922e-26,1.08216214574227e-25,1.82575069149253e-24,1.64649479296459e-24
"33",2.09658932857426e-29,2.46729334151043e-27,1.46414529312932e-26,1.46955292594912e-26
"34",1.39393706650741e-32,4.97379758926976e-28,1.16370692551072e-27,6.18339840423386e-22
"35",1.945886782162e-29,6.24487954296493e-29,1.10068183752341e-26,3.85970082117122e-26
"36",5.36770208344505e-28,1.13961866869541e-21,1.25061179713567e-22,4.35518440848049e-25
"37",4.9790190251254e-29,2.70999338835607e-30,4.9653337863475e-29,3.44220482699355e-28
"38",3.12444120582719e-28,2.0594267913884e-24,9.40879378336782e-20,7.77646950621678e-27
"39",1.52125076402508e-24,7.07100843947956e-25,2.09543057527772e-28,4.5885922481591e-25
"40",2.43947861271864e-29,2.06404642876471e-24,3.31215251662792e-22,2.06193188397908e-26
"41",6.31968229501085e-21,3.54863927178431e-27,3.69421264797613e-24,1.9797148215551e-28
"42",1.26203613009235e-26,1.65362296468804e-25,1.1621843360311e-24,3.5952790603867e-29
"43",1.17302989586038e-27,1.52239847930877e-29,5.4858238191277e-24,2.8880085583521e-24
"44",7.13547710533542e-28,1.51844953073734e-29,5.11925670281125e-30,2.64718572284614e-24
"45",7.27131113078717e-28,3.20876627368196e-28,2.5160375380713e-30,5.42280199419158e-31
"46",1.18721440652974e-28,5.88118061858379e-29,8.849139498513e-31,1.25614975931327e-25
"47",1.5008975674958e-28,3.64599941118831e-24,1.18806537182257e-28,1.32178431375199e-29
"48",2.0098562719728e-26,1.2214653542763e-24,1.22785927171827e-26,2.11652000593282e-21
"49",1.79181510374423e-26,4.3085363952559e-27,4.35365297508474e-31,2.82564682688347e-27
"50",3.10270781944379e-25,1.57847775520453e-26,3.32618173404159e-29,1.91562443262243e-26
"51",2.63554799862314e-29,5.02320599037386e-23,2.28563692159367e-26,1.13703730075176e-26
"52",2.87834216725724e-23,8.8618621092027e-28,9.76003580429551e-26,5.70913523452801e-26
"53",6.9324927544728e-24,8.68786446819547e-29,2.48251328517633e-27,1.17899460261207e-25
"54",7.85601658214108e-29,5.43447429693131e-27,7.03693660812005e-27,1.66753367021781e-20
"55",7.07053568206352e-35,3.15693388028508e-25,2.91168926940293e-22,1.96373984695008e-25
"56",3.97775083356356e-25,5.80806810252025e-25,1.9756069981546e-30,4.72879366840373e-28
"57",4.97748948500962e-28,3.97567384344407e-24,8.61738256977415e-27,1.5857009365896e-24
"58",1.40524886006405e-27,1.95430479811432e-25,1.12438553969995e-28,5.34723063274317e-24
"59",2.17673466441409e-26,1.39892258023605e-26,9.62361230424848e-28,5.10676729579854e-31
"60",2.37881066710044e-27,9.65577733177381e-25,2.76933222821462e-27,3.77642238314808e-27
"61",2.38300225468954e-30,1.56797832805572e-27,3.23814486984681e-29,1.38210768235595e-22
"62",5.79762528890385e-24,3.23418979227404e-27,4.76597028854008e-24,5.09376832554257e-27
